2017年6月17日,JS+Node.jsによるWebクローラー/ネットエージェント開発テクニック等,"6,480",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=249-2705740-1535816
2017年6月10日,直販・通販で稼ぐ! 年商1億円農家 (DOBOOKS),"1,620",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o03_?ie=UTF8&orderID=249-8637654-3279857
2017年6月9日,AC-DCコンバーター100V→24V直流安定化電源・変換器＋配線付,"3,175",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=250-9718626-7869432
2017年6月9日,Selenium実践入門 ―― 自動化による継続的なブラウザテスト (WEB+DB PRESS plus),"3,564",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o05_?ie=UTF8&orderID=249-8180994-1626247
2017年6月4日,誰がアパレルを殺すのか,"1,500",https://www.amazon.co.jp/gp/digital/your-account/order-summary.html/ref=oh_aui_dpi_o06_?ie=UTF8&orderID=D01-7520867-9759430&print=1
2017年6月4日,ラズベリーパイ3 (Raspberry Pi 3B made in JAPAN) 技適対応 日本製 + 5.1V/2.5A ラズベリー財団公式アダプタ 【本体+アダプタ セット品】,"5,940",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=249-8548906-2231065
2017年6月3日,Rubyist Magazine出張版 Ruby on Windows,258,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o09_?ie=UTF8&orderID=249-9969415-5609435
2017年6月3日,Rubyist Magazine出張版 Ruby on Windows,337,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o00_?ie=UTF8&orderID=249-9916245-9687018
2017年5月31日,絵とき「リレー回路」基礎のきそ (Electronics Series),"2,160",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o01_?ie=UTF8&orderID=249-9794818-0658207
2017年5月30日,EC-CUBE 3 店舗運営&デザインカスタマイズガイド,"3,024",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o03_?ie=UTF8&orderID=249-5956282-6397426
2017年5月30日,実践力を身につける Pythonの教科書,"2,786",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=250-2485836-5563018
2017年5月30日,Python 入門指南,776,https://www.amazon.co.jp/gp/digital/your-account/order-summary.html/ref=oh_aui_dpi_o05_?ie=UTF8&orderID=D01-0379970-3765807&print=1
2017年5月23日,必携 シーケンス制御プログラム定石集―機構図付き等,"4,428",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o06_?ie=UTF8&orderID=249-7027492-8020663
2017年5月23日,UMLモデリング入門,"2,400",https://www.amazon.co.jp/gp/digital/your-account/order-summary.html/ref=oh_aui_dpi_o07_?ie=UTF8&orderID=D01-6582457-8044244&print=1
2017年5月22日,絵とき「PLC制御」基礎のきそ (Mechatronics Series),"2,160",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=250-7294855-3993449
2017年5月17日,ソフトウェアデザイン 2017年 06 月号 [雑誌]等,"2,298",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o03_?ie=UTF8&orderID=250-3729176-2994236
2017年5月17日,ニューラルネットワーク自作入門等,"4,503",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=250-3730243-0934237
2017年5月15日,日経Linux 2017年 05 月号,"1,740",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o05_?ie=UTF8&orderID=249-8482487-9738265
